155.67806028137392, 
155.48727029507958, 
156.38802094036822, 
156.90560168978996, 
154.52846274545692, 
155.99681904023637, 
156.87183341324456, 
155.14101582844867, 
155.05912381823742, 
154.23932889200682, 
