11.476055839183834, 
10.834002765461873, 
13.336944900518517, 
20.072589568396243, 
22.51653212076237, 
63.99384690325317, 
20.297714972057438, 
13.5963954612466, 
23.877847275112604, 
33.03048817645351, 
