198543.54455624116, 
198543.56398513954, 
198543.5329016299, 
199752.8521040831, 
198543.57969950922, 
198543.50673896566, 
198543.53401373414, 
198543.56665469834, 
198543.63051301768, 
198543.5262326664, 
